Year,Energy_consumption,CO2_emission,GDP
1993,19.7768598522805,800.5017684101225,11330.154
1994,19.758529032361515,759.7252294062221,11594.85
1995,20.310570702060406,744.5896484340765,11853.924
1996,20.997249062945393,768.5122122704607,12018.504
1997,20.869651416811458,797.5160199258987,12294.732
1998,21.186370256576524,781.0584067838263,12739.536
1999,21.45499856583193,830.2471567823562,13157.244
2000,21.78602049601278,821.6357225238238,13695.288
2001,22.245465262615,818.0880310719491,13970.148
2002,22.133832676213206,821.3044633180615,14126.687999999998
2003,22.290240397814625,810.9182374896344,14245.77
2004,22.65770659130998,813.4240890277836,14614.032
2005,22.88078514065645,821.3957848538395,14865.408
2006,22.93053562871944,842.3947332821097,15256.062000000002
2007,22.52005391110565,838.3256083156323,15625.632
2008,22.69530544748544,816.484209296063,15643.482
2009,21.47042107836021,816.1633596276945,15207.93
2010,22.00480091507956,773.2151802595612,15487.422
2011,21.633953007073853,775.3971097523265,15833.898
2012,21.468778680349335,755.6969162982548,15893.028000000002
2013,21.68684222861565,743.9463640162228,15990.702
2014,20.79127192094196,748.7412126158338,16146.6
2015,20.869554376952472,685.6997477118149,16314.906
2016,20.59745337591887,693.3944155921067,16482.221999999998
2017,20.60574501035591,699.7786127638132,16884.72
2018,20.5913106272958,711.9298499579247,17195.489999999998
2019,20.32172323092413,683.961307665829,17511.708
