Year,Energy_consumption,CO2_emission,GDP
1993,65.38217907111925,4413.968646647789,13572.066
1994,59.37406401438684,4057.871987433909,11834.712
1995,58.48534621511632,3680.8136234000935,11242.704000000002
1996,54.76705192168621,3537.0787299699914,10840.08
1997,51.7569176031778,3261.5790782215963,10989.21
1998,51.182810666509766,3066.9113221017465,10404.702
1999,51.769054288915385,3036.288839545515,11065.152
2000,53.52659615700909,3033.4373468340036,12177.69
2001,53.60690485192059,3080.668609679567,12796.512
2002,54.37856711900848,3071.276132154021,13403.856
2003,55.69954295105903,3085.901259653946,14389.812000000002
2004,56.64995578199508,3157.861890804378,15418.038
2005,56.15726803940381,3167.5919263979413,16404.239999999998
2006,58.706001065733375,3141.0136090680753,17743.698
2007,58.27340520827132,3289.3796799959514,19260.828
2008,60.058217293093335,3232.4393801878387,20271.468
2009,54.27652313820032,3379.410357464225,18686.046
2010,60.57530715536787,3011.1771451783866,19529.22
2011,62.82300691899224,3322.0734788875316,20223.408000000003
2012,62.92956284033288,3467.1087548659534,21037.212
2013,62.16170386501858,3483.0806336144024,21406.5
2014,62.687205076797085,3385.1364509796044,21564.108
2015,61.898838959199274,3372.2484862219317,21138.714
2016,62.0137160074094,3380.3007634821865,21179.652
2017,63.842841166213056,3351.7077005564884,21566.328
2018,66.09006727091018,3467.7237624722266,22171.788
2019,66.49306646839622,3596.484477023709,22622.52
