Year,Energy_consumption,CO2_emission,GDP
1993,7.5533840866904445,427.41358427579144,5236.2119999999995
1994,7.752430030398923,428.9577427482891,5265.468
1995,7.636562573687336,442.05120663394086,5276.634
1996,8.211276448366835,425.34958757030375,5415.804
1997,8.711193925666327,454.2910021562498,5475.576
1998,9.06797267776582,506.01366583787546,5634.005999999999
1999,9.716706169404864,511.8490596035011,5421.984
2000,10.201584998730729,527.3851352778341,5726.994000000001
2001,10.592837047706656,579.4334015944781,5657.652
2002,11.01965567066171,602.6640139399475,5498.154
2003,11.521069726606497,622.5201902757447,6116.28
2004,12.586449466920374,693.7039316481955,6603.0
2005,13.334800485971307,777.7686453057461,6971.039999999999
2006,13.88216235395811,809.652245669619,7165.4400000000005
2007,14.321742177184534,812.2978363938802,7297.799999999999
2008,15.407288024737852,696.6979240416798,7753.92
2009,16.049184966594602,851.8245321079517,7594.200000000001
2010,17.616340528544224,883.9348681136541,7976.94
2011,18.420623750564967,994.3948124403972,8774.400000000001
2012,19.588064087935248,1048.861576917987,9249.18
2013,19.583960015130096,1111.3007925455909,9498.84
2014,20.718705833031105,1137.3160533758996,9845.82
2015,21.299664814767837,1190.069694876194,10250.1
2016,20.92952235028984,1242.027317667704,10421.34
2017,21.892988842362705,1178.738809114437,10344.06
2018,20.349974359871247,1168.4638084024073,10591.14
2019,20.32202949170403,1135.977197959846,10626.24
